mG_th,lowG_range_1,lowG_range_2,lowG_range,min_mG_lpf[lowG_range],max_mG_lpf[lowG_range],mean_mG_lpf[lowG_range],std_mG_lpf[lowG_range],min_mG[lowG_range],max_mG[lowG_range],mean_mG[lowG_range],std_mG[lowG_range],min_gyro[lowG_range],max_gyro[lowG_range],mean_gyro[lowG_range],std_gyro[lowG_range],min_idx,mG_lpf[min_idx],mG[min_idx],gyro[min_idx],air_range_1,air_range_2,air_range,min_mG_lpf[air_range],max_mG_lpf[air_range],mean_mG_lpf[air_range],std_mG_lpf[air_range],min_mG[air_range],max_mG[air_range],mean_mG[air_range],std_mG[air_range],min_gyro[air_range],max_gyro[air_range],mean_gyro[air_range],std_gyro[air_range],liftoff_idx,mG_lpf[liftoff_idx],mG[liftoff_idx],gyro[liftoff_idx],touch_idx,mG_lpf[touch_idx],mG[touch_idx],gyro[touch_idx],landing_range_1,landing_range_2,landing_range,min_mG_lpf[landing_range],max_mG_lpf[landing_range],mean_mG_lpf[landing_range],std_mG_lpf[landing_range],min_mG[landing_range],max_mG[landing_range],mean_mG[landing_range],std_mG[landing_range],min_gyro[landing_range],max_gyro[landing_range],mean_gyro[landing_range],std_gyro[landing_range],full_jump_range,min_mG_lpf[full_jump_range],max_mG_lpf[full_jump_range],mean_mG_lpf[full_jump_range],std_mG_lpf[full_jump_range],min_mG[full_jump_range],max_mG[full_jump_range],mean_mG[full_jump_range],std_mG[full_jump_range],min_gyro[full_jump_range],max_gyro[full_jump_range],mean_gyro[full_jump_range],std_gyro[full_jump_range],impulse_idx,mG_lpf[impulse_idx],mG[impulse_idx],gyro[impulse_idx],distance,tests_passed,total_tests,confidence,run_sample_count,min_mG_lpf[full_range],max_mG_lpf[full_range],mean_mG_lpf[full_range],std_mG_lpf[full_range],min_mG[full_range],max_mG[full_range],mean_mG[full_range],std_mG[full_range],min_gyro[full_range],max_gyro[full_range],mean_gyro[full_range],std_gyro[full_range]
600,10165,10188,23,459.35777853781417,578.0445445891024,501.91728260596454,38.08501447802493,282.4995575217774,652.6040146980403,450.58061097070856,99.8315100986027,43692.394074941694,156936.097186084,84945.94790503016,35305.17020510673,10176,459.35777853781417,416.7277288590237,53661.15261527654,10156,20596,10440,459.35777853781417,1288.7648276937891,1011.213484880733,36.454791575489665,282.4995575217774,3891.848018615321,1017.6617807211477,112.49046899632124,0.0,534815.4428398642,12873.722298853521,34165.93733515917,10156,886.7037981542364,838.7454917911631,91094.55856416452,20596,1052.7648983997808,793.6151460248223,40110.54973445265,20596,20646,50,1018.0773622221349,1126.1787928437645,1069.2267039704002,39.54329775195807,582.7186284992097,5064.456732957643,1244.3134852544729,773.8171556730098,7790.468535332134,230881.8288648979,54182.91363326401,46860.9888309055,10490,459.35777853781417,1288.7648276937891,1011.490001654277,36.68836025159674,282.4995575217774,5064.456732957643,1018.7421034310303,125.26609201395735,0.0,534815.4428398642,13070.620255642894,34355.627785239194,20603,1109.5456607278777,5064.456732957643,70116.4880752024,1054.6768163742397,14,15,93.33333333333333,197547,33.10658090101209,2303.895965617232,1031.2614328291177,114.69759520533604,64.01562309311689,12530.128850095676,1076.0784273814925,366.2656473463043,0.0,914981.6853358323,22055.261092802684,42964.15730313446
600,21619,21627,8,531.1185954326556,585.6991722386673,550.5319264305537,18.072319791275017,585.743971373159,855.4846579571138,748.8156433094374,97.12238328559167,54412.33775532898,207203.85469387387,120983.08616242537,56578.129278150955,21623,531.1185954326556,855.4846579571138,127020.01023460831,21615,21634,19,531.1185954326556,772.5143723983666,620.7528185945359,73.45093496267822,585.743971373159,1216.3589108482743,892.8031793212014,194.66194406621753,54412.33775532898,230475.90090940092,168176.19290524113,61015.28594415083,21615,772.5143723983666,1083.14957415862,225630.37140420612,21634,755.2437551385282,1303.3069477295055,206786.50463702896,21634,21684,50,755.2437551385282,1308.4339486962017,1086.3488057934946,136.26336284510086,822.1033998226744,6040.302393092585,1474.8705454305186,992.3186152750965,37849.42139584171,342928.34965922544,96088.73796490848,62647.84470603246,69,531.1185954326556,1308.4339486962017,958.1412151155203,241.23889017564744,585.743971373159,6040.302393092585,1314.591125777228,889.7113590724479,37849.42139584171,342928.34965922544,115938.90671659427,70043.4096089754,21641,921.5292768289074,6040.302393092585,76409.4810871007,1.171607404333204,11,15,73.33333333333333,197547,33.10658090101209,2303.895965617232,1031.2614328291177,114.69759520533604,64.01562309311689,12530.128850095676,1076.0784273814925,366.2656473463043,0.0,914981.6853358323,22055.261092802684,42964.15730313446
600,23179,23192,13,521.0201515521496,594.1219321946422,547.6258647423531,23.20097996306618,247.83260479605988,824.9472710422164,470.11341280076334,194.83068159156662,131660.26811456826,659290.732985077,336089.6997491971,177868.32465282368,23185,521.0201515521496,469.26005583258416,294975.72256034904,23176,23193,17,521.0201515521496,688.0298033369455,569.3197194243528,47.1274255392281,247.83260479605988,1459.8164268153719,516.8664454215647,298.5068054356455,131660.26811456826,676902.4250215093,330848.43436040625,186175.47944338399,23176,688.0298033369455,612.5577523793165,208156.37895582253,23193,610.1741360730861,4898.75218805769,534673.6460683283,23193,23243,50,610.1741360730861,1094.3080384901396,852.3084357121958,166.1355911791085,471.55593517630547,9996.016906748408,2316.3013908683897,1797.0194174413266,61426.70510453902,800366.6323004727,341831.30051202246,195989.60249528385,67,521.0201515521496,1094.3080384901396,780.505328594385,190.5914631494187,247.83260479605988,9996.016906748408,1859.7283450087477,1745.1742475789683,61426.70510453902,800366.6323004727,339044.60313026916,193605.56787093286,23194,623.4529240351649,9996.016906748408,406628.6503678756,0.9557848799250211,12,15,80.0,197547,33.10658090101209,2303.895965617232,1031.2614328291177,114.69759520533604,64.01562309311689,12530.128850095676,1076.0784273814925,366.2656473463043,0.0,914981.6853358323,22055.261092802684,42964.15730313446
600,98710,98722,12,538.6426864723774,596.5324800575445,556.8199900302867,17.27084113015618,346.91929897311854,746.9578301350084,588.5262035332617,128.08359674339985,137792.25740222126,152865.1755633048,146481.6967496453,4601.288842445748,98716,538.6426864723774,589.2537653676894,144388.82539864365,98706,98725,19,538.6426864723774,706.5151396340793,586.1484797364644,47.06497365951889,319.63885871401806,746.9578301350084,549.814026665007,140.95467460477246,137792.25740222126,170840.7471887196,150960.75041502732,7962.452837188879,98706,706.5151396340793,617.869727369775,170840.7471887196,98725,643.1747754054212,718.1448321891622,127354.20330715434,98725,98775,50,643.1747754054212,1739.5565918577447,1253.0635362553792,321.58187922531596,316.2831010345004,5366.892769564154,1880.1189118354562,1204.7724172467845,43194.3109679967,225537.06702003552,135807.3468949521,45166.17421648808,69,538.6426864723774,1739.5565918577447,1069.4202598226345,405.33678392070186,316.2831010345004,5366.892769564154,1513.8030738899702,1187.5984321688763,43194.3109679967,225537.06702003552,139980.02322656693,39262.271141274075,98772,1706.4423713880735,5366.892769564154,101720.45369540976,1.1025971909478494,12,15,80.0,197547,33.10658090101209,2303.895965617232,1031.2614328291177,114.69759520533604,64.01562309311689,12530.128850095676,1076.0784273814925,366.2656473463043,0.0,914981.6853358323,22055.261092802684,42964.15730313446
600,98938,98970,32,274.30989369854626,599.4740023320724,379.3083675696464,96.77384656373513,64.01562309311689,2204.8501082840075,1083.7371582762466,458.40084453600866,97736.7965507362,241513.9387281819,169769.00817608766,37560.254930011884,98955,274.30989369854626,337.1972716378352,202066.5642801896,98947,98964,17,274.30989369854626,358.2758100087823,302.13082069035266,25.78225800171962,64.01562309311689,2073.879456477642,957.1545636477061,493.80106746497194,156327.9770226686,241513.9387281819,198421.5944284453,21964.62342314635,98947,343.0005246418338,991.6017345688742,212186.77762763636,98964,382.01199861308294,1414.1672461204862,153856.3853078578,98964,99014,50,382.01199861308294,1448.2669980634814,1096.1282682119238,343.97860641176345,991.174051314904,9020.96402830651,2897.568688278288,1795.6904234052263,35229.68634546723,316726.58587494673,153618.73944228352,66700.88704180623,67,274.30989369854626,1448.2669980634814,894.6662292885402,455.8963884546608,64.01562309311689,9020.96402830651,2405.224805909333,1783.5819544563371,35229.68634546723,316726.58587494673,164986.62802086188,61827.59725048703,98978,898.8421907010413,9020.96402830651,264879.31553822773,0.5136427984610658,12,15,80.0,197547,33.10658090101209,2303.895965617232,1031.2614328291177,114.69759520533604,64.01562309311689,12530.128850095676,1076.0784273814925,366.2656473463043,0.0,914981.6853358323,22055.261092802684,42964.15730313446
600,99490,99524,34,318.5464133134709,583.5090919388034,416.4339848697896,78.1199209107649,1974.849108159912,10177.529464462385,5629.410782570312,2015.247767548826,56707.8204483297,634317.6640296248,265510.6138695324,148577.6415834713,99503,318.5464133134709,6547.413000567476,135296.4012825175,99495,99511,16,318.5464133134709,431.0604543512056,351.6155220506579,31.42926659847533,2290.469165913394,7886.028785136407,5579.361176589762,1869.3546309255812,56707.8204483297,634317.6640296248,250044.48251060853,153511.9474699021,99495,431.0604543512056,4106.966520438169,123894.30495385977,99511,378.6995761004811,6510.525478024028,247160.7220008875,99511,99561,50,378.6995761004811,959.2936944090411,737.3684641564023,192.2359226835545,385.40627913929995,10177.529464462385,3047.678978388895,2389.9229578976865,86239.65909023528,614617.9541796676,202648.20435599197,119927.73171077695,66,318.5464133134709,959.2936944090411,643.8525994034945,235.72063194378214,385.40627913929995,10177.529464462385,3661.420117346681,2520.1859323033955,56707.8204483297,634317.6640296248,214138.2111813536,130466.34930679998,99521,515.1012934810848,10177.529464462385,614617.9541796676,0.553849167185927,8,15,53.333333333333336,197547,33.10658090101209,2303.895965617232,1031.2614328291177,114.69759520533604,64.01562309311689,12530.128850095676,1076.0784273814925,366.2656473463043,0.0,914981.6853358323,22055.261092802684,42964.15730313446
600,100453,100509,56,33.10658090101209,595.966940358417,262.7045457028494,165.52157552050159,71.61703707917552,1428.8547861836767,418.5083331895986,313.7678111861988,74929.95662617189,159949.81619245457,101729.41009771706,19182.148828285746,100473,33.10658090101209,273.691432090959,85472.06385714574,100457,100504,47,33.10658090101209,459.66669219250764,212.0634957812783,128.11609987440485,71.61703707917552,862.9507517813516,309.99799622930254,182.99415114995864,74929.95662617189,120149.89721177459,95335.86372340696,11238.368967432401,100457,436.08033984862476,619.5530647168166,110745.28748438915,100504,479.709669984794,1033.610177968464,106457.87241909356,100504,100554,50,479.709669984794,1645.4870723692666,1091.2528547296877,394.56104519761544,995.3235654800905,11088.06642296122,2696.8845770467206,1860.9638196610722,25177.23972162159,914981.6853358323,184574.43821157768,159336.42147632313,97,33.10658090101209,1645.4870723692666,665.2538869917985,530.3379046787738,71.61703707917552,11088.06642296122,1540.3519038671466,1795.6385166162893,25177.23972162159,914981.6853358323,141335.128923495,123031.78788893596,100514,678.8470506068269,11088.06642296122,678506.0749912265,0.9934120837222226,13,15,86.66666666666667,197547,33.10658090101209,2303.895965617232,1031.2614328291177,114.69759520533604,64.01562309311689,12530.128850095676,1076.0784273814925,366.2656473463043,0.0,914981.6853358323,22055.261092802684,42964.15730313446
600,102648,102671,23,441.01833563945166,597.2018003910176,492.784459215562,46.3566195020927,143.71151658792,1655.70649572924,839.2613255853706,406.7847860469896,51162.96121218943,204888.46941690007,142159.51528721605,30468.167926247876,102659,441.01833563945166,598.9031641258878,164125.90867989123,102649,102670,21,441.01833563945166,570.5412309173835,484.31286096806747,38.80058815754988,143.71151658792,1429.7807524232517,806.8036797841417,384.1510285850587,84681.94848962795,204888.46941690007,146540.84114523724,24559.549597790654,102649,570.5412309173835,653.1202033316684,138917.21779534745,102670,566.2706812374902,1655.70649572924,51162.96121218943,102670,102720,50,566.2706812374902,1941.712618077439,1255.1133015266205,423.9080854557363,383.0469945058961,5102.014210093892,2093.5622002421624,1243.7912822162716,38462.372521725694,234504.77457825886,134193.66766704342,43537.78368345267,71,441.01833563945166,1941.712618077439,1027.13007262902,500.74588180002735,143.71151658792,5102.014210093892,1712.9716519376768,1215.7201337485399,38462.372521725694,234504.77457825886,137845.64855495986,39307.0458305795,102677,741.5741811243996,5102.014210093892,205886.91022014973,1.0121584062104436,12,15,80.0,197547,33.10658090101209,2303.895965617232,1031.2614328291177,114.69759520533604,64.01562309311689,12530.128850095676,1076.0784273814925,366.2656473463043,0.0,914981.6853358323,22055.261092802684,42964.15730313446
600,171844,171851,7,573.8580579885729,592.7687444469656,580.4223617505485,6.359089114152168,93.22016949137134,904.5988061013568,612.7577376200934,266.0315998703199,199303.49796227863,287614.1903661918,231826.71455736717,30695.482037866754,171847,573.8580579885729,415.4190655229969,199303.49796227863,171839,171992,153,573.8580579885729,2224.073950348074,1362.6293896997463,501.0514908499768,93.22016949137134,4392.055669046102,1600.4816953139834,897.2957100816265,54478.801381821904,298501.8003295793,139128.30991738342,52226.5664603599,171839,679.2639782005275,607.1078981532031,177588.60661652818,171992,1743.7603913546268,3178.6673308164854,107033.2046609836,171992,172042,50,437.0086443142045,1743.7603913546268,936.4701327621615,459.99244585177615,105.78279633286313,4611.85971165646,1186.8426452507472,981.5881292141876,16366.682620494601,203327.78191875305,136550.56054437568,45840.865622463956,203,437.0086443142045,2224.073950348074,1257.664055478666,524.4499250367245,93.22016949137134,4611.85971165646,1498.600155889541,935.9010154385335,16366.682620494601,298501.8003295793,138493.39627871156,50740.556868502055,172000,1538.6496976132894,4611.85971165646,48221.66836599497,20.9388053311891,8,15,53.333333333333336,197547,33.10658090101209,2303.895965617232,1031.2614328291177,114.69759520533604,64.01562309311689,12530.128850095676,1076.0784273814925,366.2656473463043,0.0,914981.6853358323,22055.261092802684,42964.15730313446
600,172023,172049,26,437.0086443142045,594.4909197648367,489.68474959173034,47.515911597661365,105.78279633286313,1374.8763580773364,613.2133368117946,260.5806011774294,136160.41862450336,230206.37458593538,178908.990024523,29491.960246385628,172036,437.0086443142045,435.23097316252665,200330.6933547628,172009,172120,111,437.0086443142045,1559.8174934500928,959.0869396432212,368.823993590218,105.78279633286313,2485.1555283321804,1114.933431345144,576.721943769872,61550.86108252264,230206.37458593538,146929.98871185328,41347.77744955035,172009,1138.4375441711527,1154.7921890972418,162696.88165419767,172120,839.5145043367728,751.5277772644203,147076.21357649917,172120,172170,50,839.5145043367728,1955.6281002495753,1336.0014186034223,330.5734190743133,459.9630419935932,5343.484443694021,1750.8957725831906,873.4797499371768,31565.886649989734,271003.94904871774,128526.36505396638,47456.84675591671,161,437.0086443142045,1955.6281002495753,1076.1411256557062,397.6690699577869,105.78279633286313,5343.484443694021,1312.4372640277672,743.543676039037,31565.886649989734,271003.94904871774,141214.5776379754,44166.04506225645,172127,953.094945906922,5343.484443694021,126071.9044831163,10.602088576991758,12,15,80.0,197547,33.10658090101209,2303.895965617232,1031.2614328291177,114.69759520533604,64.01562309311689,12530.128850095676,1076.0784273814925,366.2656473463043,0.0,914981.6853358323,22055.261092802684,42964.15730313446
